dataset,measurement,label,k,seed,status,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,status_reason,runtime_sec,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,spatial_median_xy_error_same_k,spatial_mean_xy_error_same_k,spatial_p90_xy_error_same_k,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error,median_vs_spatial_best
breast_2fov_v2,morphology,morphology,24,,ok,False,7275,95396,0.998213058419244,393.8709411621094,108.75959777832033,0.2761300375636421,362.603759765625,355.0479736328125,575.9066772460938,354.80535888671875,1.0006837844848633,,,,,,,,,,,,,,2.479739189147949,3.61443305015564,7.475117683410644,143.1795630712312,16,2.41890287399292,146.78058282130584
breast_2fov_v2,morphology,morphology,32,,ok,False,7275,126844,0.9984879725085912,393.8709411621094,102.33789825439452,0.2598259672380205,361.1117248535156,352.7694091796875,573.1904907226562,354.80535888671875,0.9942618012428284,,,,,,,,,,,,,,2.5833568572998047,4.003076076507568,8.625261306762695,136.554656853878,16,2.41890287399292,145.83860020694658
breast_2fov_v2,morphology_image,morphology_image,1,,ok,False,7275,5766,0.9958762886597938,393.8709411621094,367.71234130859375,0.9335858599359091,231.30300903320312,156.239013671875,603.1217041015625,354.80535888671875,0.4403513371944427,,,,,,,,,,,,,,7.164657115936279,6.741123676300049,11.255999565124512,21.806907315125247,16,2.41890287399292,64.59085867055458
breast_2fov_v2,morphology_image,morphology_image,2,,ok,False,7275,11209,0.9962886597938144,393.8709411621094,314.4608459472656,0.7983854940388706,232.1443634033203,192.93020629882807,488.1934814453125,354.80535888671875,0.5437635183334351,,,,,,,,,,,,,,3.091755151748657,3.9346635341644287,8.121748924255371,62.40151526543403,16,2.41890287399292,79.7593852870807
breast_2fov_v2,morphology_image,morphology_image,3,,ok,False,7275,16528,0.9971134020618556,393.8709411621094,291.1724548339844,0.7392585347243061,234.97872924804688,198.4349365234375,472.2539978027344,354.80535888671875,0.5592783093452454,,,,,,,,,,,,,,2.952191114425659,3.467186689376831,6.34485387802124,67.21615533418557,16,2.41890287399292,82.03509891072142
breast_2fov_v2,morphology_image,morphology_image,4,,ok,False,7275,21919,0.9973883161512028,393.8709411621094,275.8152160644531,0.7002679995905895,239.06625366210932,206.632568359375,460.6218872070313,354.80535888671875,0.58238285779953,,,,,,,,,,,,,,2.6560733318328857,3.214989423751831,6.024593830108643,77.79625881668838,16,2.41890287399292,85.42408650674075
breast_2fov_v2,morphology_image,morphology_image,5,,ok,False,7275,27361,0.9976632302405498,393.8709411621094,266.1713562011719,0.6757831776465608,241.31985473632807,211.87335205078125,461.3182373046875,354.80535888671875,0.5971537828445435,,,,,,,,,,,,,,2.5642545223236084,3.1162643432617188,5.839629650115967,82.62571059396689,16,2.41890287399292,87.59068184537674
breast_2fov_v2,morphology_image,morphology_image,8,,ok,False,7275,43634,0.9984879725085912,393.8709411621094,247.90640258789065,0.6294102374154515,248.21359252929688,221.40042114257807,457.2295837402344,354.80535888671875,0.6240053176879883,,,,,,,,,,,,,,2.4540281295776367,3.0592029094696045,5.835903644561768,90.219186354919,16,2.41890287399292,91.5292728463748
breast_2fov_v2,morphology_image,morphology_image,12,,ok,False,7275,65343,0.9989003436426116,393.8709411621094,235.13511657714844,0.5969851847495689,254.4065093994141,229.4823303222656,455.9409790039063,354.80535888671875,0.646783709526062,,,,,,,,,,,,,,2.4200215339660645,3.1433322429656982,6.100075721740723,94.82656542571227,16,2.41890287399292,94.87041947387314
breast_2fov_v2,morphology_image,morphology_image,16,,ok,False,7275,87045,0.9989003436426116,393.8709411621094,226.723373413086,0.5756285872325146,259.0327453613281,237.11610412597656,456.02642822265625,354.80535888671875,0.6682990789413452,,,,,,,,,,,,,,2.41890287399292,3.290410280227661,6.449787139892578,98.0263022030998,16,2.41890287399292,98.0263022030998
